commit,subject,heuristic_subsystem_tags,heuristic_requirement_ids,touched_paths,audit_state,evidence_reference
"e9d56da7d19d6956c84556fa42b0627a3d4dee3d","build(packages): initialize shared package workspaces","protocol-events-vectors;spaces-and-mls","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007","packages/desktop-ui/package.json;packages/desktop-ui/src/index.ts;packages/protocol-inspector/package.json;packages/protocol-inspector/src/index.ts;packages/theme/package.json;packages/theme/src/index.ts","PENDING-AUDIT",""
"4b1d5419efb18ce5ecde3c6e53a7c5166d008a56","build(deps): pin current toolchain releases","android-and-mobile;desktop;messaging-and-projections","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;DSK;LAT-002;LAT-004;MSG;LAT-003;LAT-004;LAT-007","apps/android/app/build.gradle.kts;apps/desktop/package.json;apps/desktop/src-tauri/Cargo.toml;bun.lock;package.json","PENDING-AUDIT",""
"9ed10e7b2f1f70b32f1daee19a154c20d12f39cf","ci(repo): validate all platform scaffolds","build-repository-maintenance","",".github/workflows/ci.yml","PENDING-AUDIT",""
"de53a4f491331e248931f38b48dbed6dafa03a09","ci(deps): schedule dependency updates","build-repository-maintenance","",".github/dependabot.yml","PENDING-AUDIT",""
"c793c142eeaf871baf2e51d89072d538816b870a","build(core): initialize Rust domain crates","android-and-mobile;cli-and-node;files-and-transfers;identity-trust-pki;protocol-events-vectors;relay;spaces-and-mls;storage-outbox-courier;sync-routing-transport;tests-and-fuzzing;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;CLI;NET;LAT-004;LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;IDN;LAT-009;SPC;IDN-004;IDN-008;LAT-003;LAT-007;LAT-004;LAT-005;LAT-006;MSG;NET;LAT-002;LAT-005;LAT-007;LAT-011;NET-009;NET-010;NET-011;NET-013;FIL;LAT-006;VOC;LAT-016;LAT-017;LAT-006;LAT-007;LAT-018","Cargo.toml;crates/lattice-core/Cargo.toml;crates/lattice-core/src/lib.rs;crates/lattice-crypto/Cargo.toml;crates/lattice-crypto/src/lib.rs;crates/lattice-events/Cargo.toml;crates/lattice-events/src/lib.rs;crates/lattice-files/Cargo.toml;crates/lattice-files/src/lib.rs;crates/lattice-identity/Cargo.toml;crates/lattice-identity/src/lib.rs;crates/lattice-mesh/Cargo.toml;crates/lattice-mesh/src/lib.rs;crates/lattice-mls/Cargo.toml;crates/lattice-mls/src/lib.rs;crates/lattice-node/Cargo.toml;crates/lattice-node/src/lib.rs;crates/lattice-platform/Cargo.toml;crates/lattice-platform/src/lib.rs;crates/lattice-protocol/Cargo.toml;crates/lattice-protocol/src/lib.rs;crates/lattice-relay/Cargo.toml;crates/lattice-relay/src/lib.rs;crates/lattice-router/Cargo.toml;crates/lattice-router/src/lib.rs;crates/lattice-storage/Cargo.toml;crates/lattice-storage/src/lib.rs;crates/lattice-sync/Cargo.toml;crates/lattice-sync/src/lib.rs;crates/lattice-testkit/Cargo.toml;crates/lattice-testkit/src/lib.rs;crates/lattice-transport/Cargo.toml;crates/lattice-transport/src/lib.rs;crates/lattice-uniffi/Cargo.toml;crates/lattice-uniffi/src/lib.rs;crates/lattice-voice/Cargo.toml;crates/lattice-voice/src/lib.rs","PENDING-AUDIT",""
"a44459b4b3bfa46f866de346c6f5a35039c8ddab","build(protocol): initialize wire layout","protocol-events-vectors","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018","protocol/schemas/.gitkeep;protocol/specs/.gitkeep;protocol/vectors/.gitkeep;transports/.gitkeep","PENDING-AUDIT",""
"e378390ea2701e0de8a7b42e4d58ce28383a603a","build(tooling): initialize protocol tooling layout","tests-and-fuzzing","LAT-006;LAT-007;LAT-018","tooling/benchmarks/.gitkeep;tooling/fuzz/.gitkeep;tooling/mesh-simulator/.gitkeep;tooling/network-chaos/.gitkeep;tooling/packet-inspector/.gitkeep","PENDING-AUDIT",""
"b4c8440a327ed3c08c5f7f4744ba91a3b691e40d","test(repo): initialize verification layout","android-and-mobile;protocol-events-vectors;sync-routing-transport;tests-and-fuzzing","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;NET;LAT-002;LAT-005;LAT-007;LAT-011;LAT-006;LAT-007;LAT-018","tests/e2e/.gitkeep;tests/interop/.gitkeep;tests/mesh/.gitkeep;tests/mobile/.gitkeep;tests/protocol/.gitkeep;tests/routing/.gitkeep;tests/security/.gitkeep;tests/sync/.gitkeep","PENDING-AUDIT",""
"8fc5bee803cdd4bee5e0b194e6fb84a8660b4a3b","build(design): initialize design asset layout","build-repository-maintenance","","design/assets/.gitkeep;design/icons/.gitkeep;design/scripts/.gitkeep;design/tokens/.gitkeep","PENDING-AUDIT",""
"ba382af9871380af21d2345b0ceb60358177cf3c","build(packages): add TypeScript project configs","protocol-events-vectors","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018","packages/desktop-ui/tsconfig.json;packages/protocol-inspector/tsconfig.json;packages/theme/tsconfig.json","PENDING-AUDIT",""
"45bb66e4495d3633ff6289f6c9ae6a554f164229","test(packages): allow empty scaffold suites","protocol-events-vectors","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018","packages/desktop-ui/package.json;packages/protocol-inspector/package.json;packages/theme/package.json","PENDING-AUDIT",""
"3a9470644767748eb6b2db8318ed4013154cdfae","fix(deps): update Tauri stable patch","android-and-mobile;behavior-fix;desktop","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;DSK;LAT-002;LAT-004","Cargo.lock;apps/desktop/src-tauri/Cargo.toml","PENDING-AUDIT",""
"e50f964663fa69feb6c10e4f5993c61037fdb81c","style(cli): apply rustfmt","cli-and-node","CLI;NET;LAT-004","apps/cli/src/main.rs","PENDING-AUDIT",""
"ad95159afbb880cab873db3af070fb2294e755b2","fix(lint): satisfy Rust clippy","behavior-fix;desktop","DSK;LAT-002;LAT-004","apps/desktop/src-tauri/build.rs","PENDING-AUDIT",""
"bf36ad3c3820ba04fac079f158f8cc0270ba425c","fix(lint): document desktop startup panic","behavior-fix;desktop","DSK;LAT-002;LAT-004","apps/desktop/src-tauri/src/lib.rs","PENDING-AUDIT",""
"30c595501f5aa708f6622a6705ce4bc15b445bbe","chore(ios): ignore Xcode build state","build-repository-maintenance","",".gitignore","PENDING-AUDIT",""
"521ba8f59b4c37ff09dbaa9590cf332f4a6676f5","chore(android): ignore Gradle outputs","build-repository-maintenance","",".gitignore","PENDING-AUDIT",""
"435a5ac7e7df603b7e11979e4c6851a162018e46","fix(android): mark Gradle wrapper executable","android-and-mobile;behavior-fix","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016","apps/android/gradlew","PENDING-AUDIT",""
"9e192f34b0a27290cfaa46f52754afcc18da0e57","chore(android): ignore native build state","build-repository-maintenance","",".gitignore","PENDING-AUDIT",""
"b41562cdea096c6ba018680cb4da907ed7e010e3","fix(android): align Compose with API 37","android-and-mobile;behavior-fix","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016",".github/workflows/ci.yml;apps/android/app/build.gradle.kts","PENDING-AUDIT",""
"294b08d4bd3258e76bf532e0fb0329a2a9c0fe31","docs(security): define membership and channel boundaries","requirements-and-architecture;spaces-and-mls","SPC;IDN-004;IDN-008;LAT-003;LAT-007","docs/architecture.md;docs/decisions/ADR-001-membership-commit-conflicts.md;docs/decisions/ADR-002-channel-read-semantics.md;docs/decisions/DECISIONS.md","PENDING-AUDIT",""
"3562485c1ea9bc7b0a9fdff6e1c2ce21d03dc1d3","docs(protocol): publish candidate encoding vectors","protocol-events-vectors;requirements-and-architecture","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018","docs/protocol/PROTOCOL.md;protocol/specs/00-overview.md;protocol/specs/02-encoding.md;protocol/specs/03-identity.md;protocol/specs/05-events.md;protocol/vectors/canonical-cbor.json","PENDING-AUDIT",""
"9211ed5cc4dc26f97bae2b30d8cb5ddfe08a13b2","feat(identity): persist OS-protected device identity","identity-trust-pki;product-feature;requirements-and-architecture;storage-outbox-courier;voice","IDN;LAT-009;LAT-004;LAT-005;LAT-006;MSG;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-core/Cargo.toml;crates/lattice-core/src/lib.rs;crates/lattice-crypto/Cargo.toml;crates/lattice-crypto/src/lib.rs;crates/lattice-identity/Cargo.toml;crates/lattice-identity/src/lib.rs;crates/lattice-platform/Cargo.toml;crates/lattice-platform/src/lib.rs;crates/lattice-storage/Cargo.toml;crates/lattice-storage/src/lib.rs;docs/data/DATA_MODEL.md","PENDING-AUDIT",""
"85c3aa1c17630ca3991669c6c7d1ac4469ec566f","feat(protocol): add candidate canonical event profile","product-feature;protocol-events-vectors;tests-and-fuzzing;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;VOC;LAT-016;LAT-017;LAT-006;LAT-007;LAT-018","crates/lattice-events/Cargo.toml;crates/lattice-events/src/lib.rs;crates/lattice-protocol/Cargo.toml;crates/lattice-protocol/src/lib.rs;packages/protocol-inspector/package.json;packages/protocol-inspector/src/index.test.ts;packages/protocol-inspector/src/index.ts;packages/protocol-inspector/tsconfig.json;protocol/specs/05-events.md;protocol/vectors/canonical-cbor.json","PENDING-AUDIT",""
"1b2aa61680761162d26e14bc662da0572ca34af4","test(mls): add OpenMLS conformance harness","spaces-and-mls;voice","SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","crates/lattice-mls/Cargo.toml;crates/lattice-mls/src/lib.rs","PENDING-AUDIT",""
"b073887e727184625513a5565e4a26a36234ffcc","feat(transport): add bounded routing and sync primitives","files-and-transfers;product-feature;sync-routing-transport;tests-and-fuzzing;voice","NET;LAT-002;LAT-005;LAT-007;LAT-011;FIL;LAT-006;VOC;LAT-016;LAT-017;LAT-006;LAT-007;LAT-018","crates/lattice-files/Cargo.toml;crates/lattice-files/src/lib.rs;crates/lattice-mesh/src/lib.rs;crates/lattice-router/src/lib.rs;crates/lattice-sync/src/lib.rs;crates/lattice-testkit/src/lib.rs;crates/lattice-voice/Cargo.toml;crates/lattice-voice/src/lib.rs","PENDING-AUDIT",""
"a092dda1dd1c7dce2ab6990844b563527e1ebea9","feat(android): add permission-aware BLE discovery","android-and-mobile;product-feature;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;VOC;LAT-016;LAT-017","apps/android/app/build.gradle.kts;apps/android/app/src/main/AndroidManifest.xml;apps/android/app/src/main/kotlin/com/astraive/lattice/BleFrameCodec.kt;apps/android/app/src/main/kotlin/com/astraive/lattice/DiscoveryPermissionState.kt;apps/android/app/src/main/kotlin/com/astraive/lattice/MainActivity.kt;apps/android/app/src/main/kotlin/com/astraive/lattice/NearbyServiceScanner.kt;apps/android/app/src/test/kotlin/com/astraive/lattice/BleFrameCodecTest.kt;apps/android/app/src/test/kotlin/com/astraive/lattice/DiscoveryPermissionStateTest.kt","PENDING-AUDIT",""
"7c337d65ab6ab45d5b5f0bfc481a90cd042c5851","feat(apps): add protected identity workflows","cli-and-node;desktop;product-feature","DSK;LAT-002;LAT-004;CLI;NET;LAT-004","apps/cli/Cargo.toml;apps/cli/src/main.rs;apps/desktop/package.json;apps/desktop/src-tauri/Cargo.toml;apps/desktop/src-tauri/src/lib.rs;apps/desktop/src/App.tsx;bun.lock","PENDING-AUDIT",""
"d273f7f42885258a023436ec917e7681694d951e","feat(ui): add shared theme and status components","product-feature;tests-and-fuzzing","LAT-006;LAT-007;LAT-018","packages/desktop-ui/src/components.tsx;packages/desktop-ui/src/index.ts;packages/desktop-ui/test/components.test.tsx;packages/desktop-ui/tsconfig.json;packages/theme/package.json;packages/theme/src/index.test.ts;packages/theme/src/index.ts;packages/theme/tsconfig.json","PENDING-AUDIT",""
"546c102e0da66ab1fc52c058b225136647f6a25f","chore(router): clarify forwarding policy description","sync-routing-transport;voice","NET;LAT-002;LAT-005;LAT-007;LAT-011;VOC;LAT-016;LAT-017","crates/lattice-router/Cargo.toml","PENDING-AUDIT",""
"f270d964e6bf3f509dad50d90f65c74ecd876247","fix(protocol): use checked canonical integer conversions","behavior-fix;protocol-events-vectors;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;VOC;LAT-016;LAT-017","crates/lattice-protocol/src/lib.rs","PENDING-AUDIT",""
"89e15434f42997abce2a6f609e77deb5e3510f98","docs(identity): describe fallible API errors","android-and-mobile;identity-trust-pki;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;IDN;LAT-009;VOC;LAT-016;LAT-017","crates/lattice-identity/src/lib.rs","PENDING-AUDIT",""
"ec4404157f2e70d1c0fff02df42a0acc89983648","feat(files): add bounded verified attachment receiver","files-and-transfers;product-feature;voice","FIL;LAT-006;VOC;LAT-016;LAT-017","crates/lattice-files/src/lib.rs","PENDING-AUDIT",""
"ec046a2cb9b1ea88685f601c2b54570a3ffb9cee","feat(mls,cli): add bounded state and JSON workflows","cli-and-node;product-feature;requirements-and-architecture;spaces-and-mls;voice","CLI;NET;LAT-004;SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","Cargo.lock;apps/cli/Cargo.toml;apps/cli/src/main.rs;crates/lattice-mls/Cargo.toml;crates/lattice-mls/src/api.rs;crates/lattice-mls/src/lib.rs;docs/features/cli.md","PENDING-AUDIT",""
"fe7ebf36d236361c4d9eb08e0d324d4d452ee9c6","test(cli): pin JSON capability contract","cli-and-node;messaging-and-projections;tests-and-fuzzing","CLI;NET;LAT-004;MSG;LAT-003;LAT-004;LAT-007;LAT-006;LAT-007;LAT-018","apps/cli/tests/json_output.rs","PENDING-AUDIT",""
"d310bb09e8a07c1bdf24e5a4d62388032144b165","feat(mls): bind plaintext to authenticated sender key","product-feature;spaces-and-mls;voice","SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-mls/Cargo.toml;crates/lattice-mls/src/api.rs;crates/lattice-mls/src/lib.rs","PENDING-AUDIT",""
"5d00c122ac04de53002a100ef2caab0b127fd6e9","feat(core): bind MLS plaintext to signed events","product-feature;spaces-and-mls;voice","SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-core/Cargo.toml;crates/lattice-core/src/lib.rs;crates/lattice-mls/src/api.rs;crates/lattice-mls/src/lib.rs","PENDING-AUDIT",""
"86f4d584858113099d8706bdc7891b3b7a8ef9bd","feat(transport): add bounded platform adapter ports","product-feature;sync-routing-transport;voice","NET;LAT-002;LAT-005;LAT-007;LAT-011;VOC;LAT-016;LAT-017","crates/lattice-transport/src/lib.rs","PENDING-AUDIT",""
"fb30631d93250184ba5bf74e1fe73e0c31af9254","perf(core): move bound plaintext without copying","spaces-and-mls;voice","SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","crates/lattice-core/src/lib.rs;crates/lattice-mls/src/api.rs","PENDING-AUDIT",""
"63c3aceb081614287a909f9a02bfbcf4a194a04c","refactor(transport): reuse platform adapter contract","sync-routing-transport;voice","NET;LAT-002;LAT-005;LAT-007;LAT-011;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-transport/Cargo.toml;crates/lattice-transport/src/lib.rs","PENDING-AUDIT",""
"343b314ed53e95b64cac81a6b2999261460cd8af","docs: report current implementation maturity accurately","requirements-and-architecture","","docs/README.md","PENDING-AUDIT",""
"8f68674004fd0fb3fc58118f556986fb542ce6fb","feat(mls): bind events to group references","product-feature;protocol-events-vectors;spaces-and-mls;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","crates/lattice-core/src/lib.rs;crates/lattice-mls/src/api.rs;crates/lattice-mls/src/lib.rs;protocol/specs/05-events.md;protocol/specs/08-mls.md","PENDING-AUDIT",""
"fb6f29f5ee7fae2cc795a3f7d58c94cf4ccb91c7","feat(transport): add bounded envelope receive port","product-feature;sync-routing-transport;voice","NET;LAT-002;LAT-005;LAT-007;LAT-011;VOC;LAT-016;LAT-017","crates/lattice-platform/src/lib.rs;crates/lattice-transport/src/lib.rs","PENDING-AUDIT",""
"567922aec4f65803ea2fe6891fb9060044e5c354","docs: track authorization profile prerequisites","requirements-and-architecture","","docs/TODO.md","PENDING-AUDIT",""
"b79f7b281cb256eb9ea308cfad2cde71a482e44e","test(protocol): share MLS group reference vector","android-and-mobile;protocol-events-vectors;spaces-and-mls;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007;VOC;LAT-016;LAT-017","apps/android/app/build.gradle.kts;apps/android/app/src/test/kotlin/com/astraive/lattice/MlsGroupReferenceVectorTest.kt;crates/lattice-mls/src/api.rs;protocol/specs/08-mls.md;protocol/vectors/mls-group-reference.txt","PENDING-AUDIT",""
"d8252d7790572ca83be1a6c473997a374d83fd6e","feat(android): protect identity material with Keystore","android-and-mobile;product-feature;voice","MOB;LAT-001;LAT-008;LAT-009;LAT-010;LAT-013;LAT-016;VOC;LAT-016;LAT-017","apps/android/app/src/main/kotlin/com/astraive/lattice/AndroidPrivateKeyProtector.kt;apps/android/app/src/test/kotlin/com/astraive/lattice/AndroidPrivateKeyProtectorTest.kt","PENDING-AUDIT",""
"5dbcbe945cd2d40dee92bf43c3f83c8319e9d689","feat(protocol-inspector): verify candidate signed events","product-feature;protocol-events-vectors;tests-and-fuzzing","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;LAT-006;LAT-007;LAT-018","packages/protocol-inspector/src/index.test.ts;packages/protocol-inspector/src/index.ts","PENDING-AUDIT",""
"6e8f74fa5ade8b3a6558794f1e2f14b037c2625d","docs(protocol): specify Space and relay profiles","protocol-events-vectors;relay;requirements-and-architecture;spaces-and-mls","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007;NET-009;NET-010;NET-011;NET-013","docs/decisions/ADR-003-nostr-envelope-relay-profile.md;docs/decisions/DECISIONS.md;docs/features/networking.md;docs/protocol/PROTOCOL.md;protocol/specs/00-overview.md;protocol/specs/06-spaces.md;protocol/specs/07-permissions.md;protocol/specs/08-mls.md;protocol/specs/09-envelope.md;protocol/specs/13-relay.md","PENDING-AUDIT",""
"7e047d88889105bf7066fe9a494598fc737e9234","docs(protocol): clarify candidate freeze gates","protocol-events-vectors;requirements-and-architecture","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018","docs/protocol/PROTOCOL.md","PENDING-AUDIT",""
"ca92119fcd2393fab4430f7fe442e94eda39835c","feat(mls): persist provider state with event transactions","product-feature;protocol-events-vectors;spaces-and-mls;storage-outbox-courier;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007;LAT-004;LAT-005;LAT-006;MSG;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-events/src/lib.rs;crates/lattice-mls/Cargo.toml;crates/lattice-mls/src/api.rs;crates/lattice-mls/src/lib.rs;crates/lattice-mls/src/storage.rs;crates/lattice-storage/src/lib.rs","PENDING-AUDIT",""
"ed5e808726b575e139d436649916bbbd4989d8ec","feat(core): authorize messages and file manifests","messaging-and-projections;product-feature;protocol-events-vectors;requirements-and-architecture;spaces-and-mls;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;SPC;IDN-004;IDN-008;LAT-003;LAT-007;MSG;LAT-003;LAT-004;LAT-007;VOC;LAT-016;LAT-017","crates/lattice-core/Cargo.toml;crates/lattice-core/src/lib.rs;crates/lattice-core/src/space.rs;docs/README.md;docs/features/files.md;protocol/specs/05-events.md;protocol/specs/06-spaces.md;protocol/specs/07-permissions.md","PENDING-AUDIT",""
"7d2fbb2a478685423b0963022a1f9eb0482297b4","feat(relay): add strict NIP event and capability codecs","product-feature;protocol-events-vectors;relay;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;NET-009;NET-010;NET-011;NET-013;VOC;LAT-016;LAT-017","crates/lattice-relay/Cargo.toml;crates/lattice-relay/src/lib.rs;crates/lattice-relay/src/nip01.rs;crates/lattice-relay/src/nip11.rs;protocol/specs/00-overview.md","PENDING-AUDIT",""
"7633c5a3bc056497c6c9284a35287a1c3a73cbc2","feat(core): create local spaces atomically","product-feature;spaces-and-mls;storage-outbox-courier;voice","SPC;IDN-004;IDN-008;LAT-003;LAT-007;LAT-004;LAT-005;LAT-006;MSG;VOC;LAT-016;LAT-017","crates/lattice-core/src/lib.rs;crates/lattice-storage/src/lib.rs","PENDING-AUDIT",""
"b6ce5a9d73a13c5c3f0be657aa9b33ba1ea6885c","feat(relay): validate mailbox events across protocol layers","product-feature;protocol-events-vectors;relay;requirements-and-architecture;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;NET-009;NET-010;NET-011;NET-013;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-relay/Cargo.toml;crates/lattice-relay/src/lib.rs;crates/lattice-relay/src/profile.rs;docs/README.md;docs/features/networking.md;docs/protocol/PROTOCOL.md","PENDING-AUDIT",""
"da3d6bc7b5b7e390ac36049a36c6e36fbc76872a","feat(core): restore protected local Space genesis","product-feature;requirements-and-architecture;spaces-and-mls;storage-outbox-courier;voice","SPC;IDN-004;IDN-008;LAT-003;LAT-007;LAT-004;LAT-005;LAT-006;MSG;VOC;LAT-016;LAT-017","crates/lattice-core/src/lib.rs;crates/lattice-mls/src/lib.rs;crates/lattice-mls/src/storage.rs;crates/lattice-storage/src/lib.rs;docs/README.md;docs/data/DATA_MODEL.md","PENDING-AUDIT",""
"48b646f9571361e82189e1710bbb10d157bb1178","feat(network): add bounded relay and TCP clients","product-feature;protocol-events-vectors;relay;requirements-and-architecture;sync-routing-transport;voice","LAT-002;LAT-003;LAT-006;LAT-011;LAT-018;NET;LAT-002;LAT-005;LAT-007;LAT-011;NET-009;NET-010;NET-011;NET-013;VOC;LAT-016;LAT-017","Cargo.lock;crates/lattice-relay/Cargo.toml;crates/lattice-relay/src/lib.rs;crates/lattice-relay/src/network.rs;crates/lattice-transport/Cargo.toml;crates/lattice-transport/src/lib.rs;crates/lattice-transport/src/tcp_peer.rs;docs/features/networking.md;docs/protocol/PROTOCOL.md","PENDING-AUDIT",""
