ordinal,commit_short_hash,reviewed_feature_assignments,subject_and_path_rationale
"78","d49a03a","Tombstones, reactions, pins, mentions, rich text, parent dependencies, presence/typing, local mutes","Authorized edit/reaction/pin projections."
"79","7093851","NON-PRODUCT-MAINTENANCE","CLI dispatch split refactor."
"80","8354751","Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Mobile identity-byte input normalization."
"81","fb270a5","NON-PRODUCT-MAINTENANCE","Generated JNI-library ignore rule."
"82","155111b","Documentation, requirements/status corrections, architectural decisions","Android ABI verification-status documentation."
"83","4d872da","Attachment manifests, receivers, staging quotas, verified chunks","Unsafe incoming filename rejection."
"84","9f710c2","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Cross-summary author-fork rejection."
"85","7350b8b","Bounded routing, path capability offers, path health and TCP framing","Volatile route-class constraint."
"86","dd8efae","Documentation, requirements/status corrections, architectural decisions","Sync/route boundary documentation."
"87","64d4ec9","Documentation, requirements/status corrections, architectural decisions","Voice signaling-only scope documentation."
"88","9d34244","Documentation, requirements/status corrections, architectural decisions","CLI/desktop boundary documentation."
"89","50cad40","Documentation, requirements/status corrections, architectural decisions","Requirements update for CLI identity pinning."
"90","41e760e","NON-PRODUCT-MAINTENANCE","Tauri owned-input annotations."
"91","32cc5ac","Documentation, requirements/status corrections, architectural decisions","Packaged Android ABI verification documentation."
"92","a96da16","Documentation, requirements/status corrections, architectural decisions","Offline-emulator limitation documentation."
"93","dd1d3d9","Peer pinning, mismatch handling and unpin","Fingerprint-bound device trust across client pin UI paths."
"94","bb56eaa","Text, local encrypted cache, history, send status and edits; Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Persisted protected policy and local history."
"95","fc238c1","Attachment manifests, receivers, staging quotas, verified chunks","Authenticated chunk manifests."
"96","ec0e5a3","Voice signaling, lifecycle and permission termination","Local voice-session lifecycle model."
"97","370be31","CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI local Space, relay, and sync workflows."
"98","c2e6827","Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop local Space messaging workflow."
"99","7e68660","Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Android protected Space messaging workflow."
"100","684d2cc","NON-PRODUCT-MAINTENANCE","Lockfile update."
"101","3ec8056","Documentation, requirements/status corrections, architectural decisions","Requirements/evidence documentation update."
"102","b7a46bc","Voice signaling, lifecycle and permission termination","Permission-revocation session termination."
"103","c40a6d9","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Missing-dependency range-request gating."
"104","95f0001","Attachment manifests, receivers, staging quotas, verified chunks","Bounded source reads/interruption retry."
"105","2ed2a32","Attachment manifests, receivers, staging quotas, verified chunks","Bounded-reader reuse."
"106","a7661d1","Text, local encrypted cache, history, send status and edits","Authorized text-edit queue."
"107","afc4852","Documentation, requirements/status corrections, architectural decisions","Voice-document formatting correction."
"108","7caf789","NON-PRODUCT-MAINTENANCE","Sync test formatting only."
"109","fc531b5","NON-PRODUCT-MAINTENANCE","Voice formatting only."
"110","5f4f56c","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Replay of accepted membership policy history."
"111","9cacb39","Text, local encrypted cache, history, send status and edits","Persisted edited local-message projections."
"112","34bc00e","Text, local encrypted cache, history, send status and edits","UniFFI local text-edit queue exposure."
"113","4f71f51","Text, local encrypted cache, history, send status and edits; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI local Space edit command."
"114","89e578b","Text, local encrypted cache, history, send status and edits; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop local-message edit surface."
"115","1d3834f","Text, local encrypted cache, history, send status and edits; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI local Space history display."
"116","5177c46","Text, local encrypted cache, history, send status and edits; Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Android local-message edit surface."
"117","887dc55","Documentation, requirements/status corrections, architectural decisions","Membership-conflict semantics documentation."
"118","c835988","Text, local encrypted cache, history, send status and edits","Cached-message restoration for local edits."
"119","f9581e2","Canonical Space genesis, durable local snapshots and recovery; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop local-Space recovery flow."
"120","fee197e","Canonical Space genesis, durable local snapshots and recovery; Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Android local-Space recovery exposure."
"121","66af4c4","Canonical Space genesis, durable local snapshots and recovery; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI local-Space recovery command."
"122","710f665","Canonical Space genesis, durable local snapshots and recovery; Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Conflicted Space-generation recovery."
"123","2ec9a68","Documentation, requirements/status corrections, architectural decisions","CLI recovery invocation documentation."
"124","083520f","Text, local encrypted cache, history, send status and edits; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop local-outbox delivery-state clarification."
"125","1a0c797","Documentation, requirements/status corrections, architectural decisions","Windows desktop-bundle documentation."
"126","d73be1e","CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI local-recovery capability reporting."
"127","554133f","Invites, KeyPackages, Welcome bootstrap, and recovery generation","Pinned Welcome bootstrap checkpoints."
"128","0c03eec","Attachment manifests, receivers, staging quotas, verified chunks","Transfers bound to authorized manifests."
"129","9a39972","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Bounded direct transport exchanges."
"130","60481d8","Invites, KeyPackages, Welcome bootstrap, and recovery generation","Client Welcome-bootstrap import."
"131","56e6f96","Documentation, requirements/status corrections, architectural decisions","Voice signaling-limit documentation."
"132","1c98f49","Documentation, requirements/status corrections, architectural decisions","Welcome checkpoint-import clarification."
"133","7ac90b9","Documentation, requirements/status corrections, architectural decisions","libwebrtc prerequisite documentation."
"134","6a6a9bb","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; Peer pinning, mismatch handling and unpin","Authenticated direct anti-entropy session with identity-pin integration."
"135","c6b553f","Documentation, requirements/status corrections, architectural decisions","Checkpoint-restoration clarification."
"136","bcbcbc4","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Bounded stored-event pages."
"137","b328fa4","Documentation, requirements/status corrections, architectural decisions","CLI committed-event status documentation."
"138","a45afa9","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Scoped-store verified event serving."
"139","2e6725a","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI pinned direct-sync request serving."
"140","31be12c","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Fetch/accept pinned application events."
"141","eb39227","Attachment manifests, receivers, staging quotas, verified chunks","Verified attachment-chunk reading."
"142","f105d3a","Documentation, requirements/status corrections, architectural decisions","Accepted Space-policy documentation alignment."
"143","329499a","Documentation, requirements/status corrections, architectural decisions","Decision-index clarification."
"144","0be643f","Search and retained-history query; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop retained-history search and CSP tightening."
"145","3bba347","Text, local encrypted cache, history, send status and edits; CLI identity, Space, local send, history/search, relay config, sync/node JSON","Canonical local send command."
"146","5f23886","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Authenticated summary exchange."
"147","537bb82","Search and retained-history query; Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Android local message search."
"148","229a4f9","Documentation, requirements/status corrections, architectural decisions","Received local-history documentation."
"149","6a5adb7","Search and retained-history query","Retained local Space-history search."
"150","8345dc6","Text, local encrypted cache, history, send status and edits; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI queued-send status contract."
"151","ca10562","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Durable conflict-after-restart coverage."
"152","c43b233","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Rejection of out-of-plan requests."
"153","dfd2ce3","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Rejection of unplanned authenticated targets."
"154","4e4803e","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI per-Space pending-sync details."
"155","48722a3","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Store-backed scoped summary construction."
"156","206fe4a","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI scoped v2 direct sync."
"157","9e7d7b6","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI scoped-range outcome reporting."
"158","f3518a0","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Store-backed v2 repair coverage."
"159","21f26c5","Attachment manifests, receivers, staging quotas, verified chunks","Authorized file-manifest queue."
"160","417aa0e","Attachment manifests, receivers, staging quotas, verified chunks","Typed file-manifest receipts."
"161","5c6ff59","Attachment manifests, receivers, staging quotas, verified chunks","Unsafe attachment-manifest rejection coverage."
"162","ee2f787","Attachment manifests, receivers, staging quotas, verified chunks","Repeated manifest-validation avoidance."
"163","aee2184","Attachment manifests, receivers, staging quotas, verified chunks","Shared authorized-event queue transaction used by manifest path."
"164","ea8482b","Canonical encoding, event IDs, signed events, vectors and inspector","Hostile protocol decoder corpus."
"165","6fda265","Canonical encoding, event IDs, signed events, vectors and inspector","Canonical decoder seed mutation tests."
"166","dc9cf16","Canonical encoding, event IDs, signed events, vectors and inspector","Hostile signed-event decoder tests."
"167","a612601","NIP-01/NIP-11/NIP-40 relay codec and client","Hostile relay-envelope decoder tests."
"168","61159e5","NIP-01/NIP-11/NIP-40 relay codec and client","Bounded NIP-01 JSON fuzzing."
"169","d6abf7b","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Bounded v2 sync-frame decoder fuzzing."
"170","86f8883","Identity generation, storage, fingerprints and protected keys","Public identity-bundle decoding fuzzing."
"171","dd599a8","Testkit, property/campaign and fuzz harnesses","Isolated fuzz target harness and quality-plan additions."
"172","397b77f","Peer pinning, mismatch handling and unpin","Local peer-pin removal in storage/core/CLI."
"173","bd8d63c","Peer pinning, mismatch handling and unpin","Mobile and desktop pin-removal exposure."
"174","982bfa3","Bounded routing, path capability offers, path health and TCP framing","Direct-path capability offer protocol."
"175","732aa21","Courier queues, pinned TCP forwarding and relay outbox","Persistent opt-in courier queue."
"176","53147a8","Bounded routing, path capability offers, path health and TCP framing","Authenticated path-capability negotiation."
"177","be0582b","Bounded routing, path capability offers, path health and TCP framing","Denied path-capability negotiation coverage."
"178","0d83e5c","Courier queues, pinned TCP forwarding and relay outbox","Durable outbox envelope publishing through relays."
"179","9f96085","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair","Missing-MLS-commit ciphertext holding."
"180","4f15d06","Bounded routing, path capability offers, path health and TCP framing","Per-path health state."
"181","dab881c","Attachment manifests, receivers, staging quotas, verified chunks; Bounded routing, path capability offers, path health and TCP framing","Authenticated resumable attachment transfer paths."
"182","8667635","Attachment manifests, receivers, staging quotas, verified chunks","Persistent attachment staging quotas."
"183","d6ee58f","Attachment manifests, receivers, staging quotas, verified chunks","Attachment staging-root anchoring fix."
"184","86020ad","Invites, KeyPackages, Welcome bootstrap, and recovery generation","Signed Space invite tokens."
"185","e73b118","Invites, KeyPackages, Welcome bootstrap, and recovery generation","KeyPackage lifecycle persistence/bootstrap paths."
"186","cf881d2","Space policy reducer, permissions, conflicts, membership and MLS atomic transitions","Member-removal rekey proof binding."
"187","2d9ca6a","Device-scoped DM MLS groups","Device-scoped direct-message MLS groups."
"188","d87dc64","Tombstones, reactions, pins, mentions, rich text, parent dependencies, presence/typing, local mutes","Stable mentions and local mutes."
"189","8b0ba28","Tombstones, reactions, pins, mentions, rich text, parent dependencies, presence/typing, local mutes","Expiring presence and typing state."
"190","7472592","Tombstones, reactions, pins, mentions, rich text, parent dependencies, presence/typing, local mutes","Parent-arrival retry for remote updates."
"191","f50d9a6","Tombstones, reactions, pins, mentions, rich text, parent dependencies, presence/typing, local mutes","Constrained semantic rich-text parsing."
"192","14362e5","Testkit, property/campaign and fuzz harnesses","Scripted contact scenarios in `lattice-testkit`."
"193","9bc5b25","Search and retained-history query","CLI offline message search."
"194","5c811f8","Invites, KeyPackages, Welcome bootstrap, and recovery generation; CLI identity, Space, local send, history/search, relay config, sync/node JSON","Offline membership lifecycle and CLI interface."
"195","e244fca","Bounded routing, path capability offers, path health and TCP framing","CLI local path-capability scan."
"196","4d91ef8","Courier queues, pinned TCP forwarding and relay outbox","Pinned TCP courier v1."
"197","f62d1c0","Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop local-path and relay-settings surface."
"198","fc7648f","Attachment manifests, receivers, staging quotas, verified chunks; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop local attachment queue UI/backend."
"199","c9fbb74","Courier queues, pinned TCP forwarding and relay outbox; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop persistent pinned-peer mode."
"200","902018e","Android BLE codec, scanning, GATT primitives and nearby service","Android BLE GATT adapters."
"201","4389c4c","Android BLE codec, scanning, GATT primitives and nearby service","Persistent nearby service."
"202","b944e45","Android BLE codec, scanning, GATT primitives and nearby service","Android Wi-Fi capability probe."
"203","9159caa","Documentation, requirements/status corrections, architectural decisions","FFI lifecycle/notification-scope documentation."
"204","4bcce70","Android UI selection and native key status","Accessible selection semantics in Android UI cards."
"205","befe8ea","Documentation, requirements/status corrections, architectural decisions","One-shot FFI observer documentation."
"206","003968a","Android Compose identity/Space/messages/diagnostics/permissions/accessibility","Android Space/diagnostics navigation."
"207","6e39c9c","Documentation, requirements/status corrections, architectural decisions","Desktop native-build/vector-check documentation."
"208","295921f","Identity generation, storage, fingerprints and protected keys; Android UI selection and native key status","Keystore status reporting and Android native-key UI."
"209","ec135b3","Documentation, requirements/status corrections, architectural decisions","Windows fuzz-runner documentation."
"210","237b3b8","Documentation, requirements/status corrections, architectural decisions","Android-only mobile release-gate documentation."
"211","c9c11d3","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI bidirectional history reconciliation."
"212","b924ce1","Attachment manifests, receivers, staging quotas, verified chunks; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop authenticated local transfer workflow."
"213","bf392fa","Direct authenticated sync v1/v2, scoped summaries/ranges, store-backed repair; CLI identity, Space, local send, history/search, relay config, sync/node JSON","CLI reconciliation retry logic."
"214","7967549","Attachment manifests, receivers, staging quotas, verified chunks; Bounded routing, path capability offers, path health and TCP framing; Desktop identity, local Space/message UI, history/search, local paths, relay settings","Desktop attachment/LAN workflow hardening."
